Beverage_category,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Sugars (g),Protein (g),Caffeine (mg),Cluster
Coffee,3,0.1,0.0,0.0,0,5,0,0,0.3,175.0,1
Coffee,4,0.1,0.0,0.0,0,10,0,0,0.5,260.0,1
Coffee,5,0.1,0.0,0.0,0,10,0,0,1.0,330.0,1
Coffee,5,0.1,0.0,0.0,0,10,0,0,1.0,410.0,1
Classic Espresso Drinks,70,0.1,0.1,0.0,5,75,10,9,6.0,75.0,1
Classic Espresso Drinks,100,3.5,2.0,0.1,15,85,10,9,6.0,75.0,1
Classic Espresso Drinks,70,2.5,0.4,0.0,0,65,6,4,5.0,75.0,1
Classic Espresso Drinks,100,0.2,0.2,0.0,5,120,15,14,10.0,75.0,1
Classic Espresso Drinks,150,6.0,3.0,0.2,25,135,15,14,10.0,75.0,0
Classic Espresso Drinks,110,4.5,0.5,0.0,0,105,10,6,8.0,75.0,1
Classic Espresso Drinks,130,0.3,0.2,0.0,5,150,19,18,13.0,150.0,1
Classic Espresso Drinks,190,7.0,3.5,0.2,30,170,19,17,12.0,150.0,0
Classic Espresso Drinks,150,5.0,0.5,0.0,0,130,13,8,10.0,150.0,1
Classic Espresso Drinks,170,0.4,0.3,0.0,10,190,25,23,16.0,150.0,0
Classic Espresso Drinks,240,9.0,4.5,0.3,35,220,24,22,16.0,150.0,0
Classic Espresso Drinks,190,7.0,1.0,0.0,0,170,16,11,13.0,150.0,0
Classic Espresso Drinks,110,1.5,1.0,0.0,5,60,21,17,7.0,85.0,1
Classic Espresso Drinks,130,4.0,2.0,0.1,10,70,21,17,6.0,85.0,1
Classic Espresso Drinks,110,3.5,1.0,0.0,0,55,19,13,6.0,85.0,1
Classic Espresso Drinks,170,2.0,1.0,0.0,5,100,32,27,10.0,95.0,0
Classic Espresso Drinks,200,6.0,3.5,0.1,20,115,32,26,10.0,95.0,0
Classic Espresso Drinks,180,5.0,1.5,0.0,0,85,28,20,9.0,95.0,0
Classic Espresso Drinks,220,2.5,1.5,0.0,5,125,43,34,13.0,175.0,0
Classic Espresso Drinks,260,8.0,4.5,0.2,25,140,42,34,13.0,175.0,0
Classic Espresso Drinks,230,7.0,2.0,0.0,0,105,37,26,11.0,175.0,0
Classic Espresso Drinks,280,3.0,2.0,0.0,10,160,54,44,17.0,180.0,0
Classic Espresso Drinks,340,11.0,6.0,0.2,30,180,53,43,17.0,180.0,2
Classic Espresso Drinks,290,9.0,2.5,0.0,0,140,47,33,14.0,180.0,0
Classic Espresso Drinks,100,0.1,0.1,0.0,5,70,19,18,6.0,75.0,1
Classic Espresso Drinks,130,3.5,1.5,0.1,15,80,18,17,6.0,75.0,1
Classic Espresso Drinks,110,2.5,0.3,0.0,0,60,16,13,5.0,75.0,1
Classic Espresso Drinks,150,0.2,0.1,0.0,5,110,28,27,9.0,75.0,0
Classic Espresso Drinks,200,5.0,2.5,0.2,20,125,28,27,9.0,75.0,0
Classic Espresso Drinks,160,4.0,0.5,0.0,0,95,23,20,7.0,75.0,0
Classic Espresso Drinks,200,0.3,0.2,0.0,5,140,37,35,12.0,150.0,0
Classic Espresso Drinks,250,6.0,3.5,0.2,25,150,37,35,12.0,150.0,0
Classic Espresso Drinks,210,5.0,0.5,0.0,0,120,31,26,9.0,150.0,0
Classic Espresso Drinks,250,0.3,0.2,0.0,10,180,47,45,15.0,150.0,0
Classic Espresso Drinks,320,9.0,4.5,0.3,35,200,46,44,15.0,150.0,2
Classic Espresso Drinks,270,7.0,1.0,0.0,0,160,39,33,12.0,150.0,0
Classic Espresso Drinks,5,0.0,0.0,0.0,0,5,1,0,0.4,75.0,1
Classic Espresso Drinks,10,0.0,0.0,0.0,0,10,2,0,1.0,150.0,1
Classic Espresso Drinks,15,0.0,0.0,0.0,0,15,3,0,1.0,225.0,1
Classic Espresso Drinks,25,0.0,0.0,0.0,0,15,4,0,1.0,300.0,1
Classic Espresso Drinks,50,0.1,0.1,0.0,5,60,8,7,5.0,75.0,1
Classic Espresso Drinks,80,3.0,1.5,0.1,10,70,8,7,5.0,75.0,1
Classic Espresso Drinks,50,1.5,0.2,0.0,0,40,4,3,3.0,75.0,1
Classic Espresso Drinks,60,0.1,0.1,0.0,5,70,9,8,6.0,75.0,1
Classic Espresso Drinks,90,3.5,1.5,0.1,15,80,9,8,6.0,75.0,1
Classic Espresso Drinks,70,3.0,0.4,0.0,0,65,7,4,5.0,75.0,1
Classic Espresso Drinks,80,0.2,0.1,0.0,5,90,12,10,8.0,150.0,1
Classic Espresso Drinks,120,4.0,2.0,0.1,15,100,12,10,8.0,150.0,1
Classic Espresso Drinks,100,3.5,0.4,0.0,0,80,9,5,7.0,150.0,1
Classic Espresso Drinks,110,0.2,0.2,0.0,5,120,16,14,10.0,150.0,1
Classic Espresso Drinks,150,6.0,3.0,0.2,25,135,16,14,10.0,150.0,0
Classic Espresso Drinks,120,4.5,0.5,0.0,0,110,11,7,9.0,150.0,1
Classic Espresso Drinks,5,0.0,0.0,0.0,0,0,1,0,0.4,75.0,1
Classic Espresso Drinks,10,0.0,0.0,0.0,0,1,2,0,1.0,150.0,1
Classic Espresso Drinks,60,0.1,0.1,0.0,5,80,9,8,6.0,75.0,1
Classic Espresso Drinks,100,0.2,0.1,0.0,5,125,14,13,9.0,75.0,1
Classic Espresso Drinks,120,0.3,0.2,0.0,5,160,18,16,12.0,150.0,1
Classic Espresso Drinks,160,0.3,0.2,0.0,10,200,24,21,15.0,150.0,0
Signature Espresso Drinks,100,1.0,0.5,0.0,5,70,17,15,6.0,75.0,1
Signature Espresso Drinks,120,4.0,2.0,0.1,15,80,16,15,5.0,75.0,1
Signature Espresso Drinks,100,3.0,1.0,0.0,0,60,14,11,4.0,75.0,1
Signature Espresso Drinks,140,1.0,0.5,0.0,5,105,25,24,8.0,75.0,1
Signature Espresso Drinks,180,5.0,3.0,0.1,20,115,25,23,8.0,75.0,0
Signature Espresso Drinks,150,4.5,1.0,0.0,0,90,21,17,7.0,75.0,1
Signature Espresso Drinks,190,1.0,1.0,0.0,10,130,35,32,11.0,150.0,0
Signature Espresso Drinks,240,7.0,3.5,0.2,25,150,34,32,10.0,150.0,0
Signature Espresso Drinks,200,5.0,1.0,0.0,5,115,29,24,9.0,150.0,0
